A/B,item_name,aspect,summary
B,글래드 마포 (GLAD MAPO),위치 및 교통,공덕역 출구 바로 앞에 위치해 접근성이 좋다. 입구 찾기가 어렵다. 공덕역 근처에 위치하여 대중교통이용하기 편리하다. 주변에 음식점이 많다. 
A,호텔 피제이 명동 (Hotel PJ Myeongdong),직원 서비스,직원이 친절하며 고객의 요구사항을 잘 들어준다.
A,호텔 피제이 명동 (Hotel PJ Myeongdong),객실 상태,화장실 청결이 아쉽다. 침대가 크고 편안하다. 객실이 넓다. 객실 내 스타일러가 구비되어 있다. 
A,호텔 피제이 명동 (Hotel PJ Myeongdong),편의 및 부대시설,무료 주차장이 있어 편리하다. 코인세탁실이 있으나 이용하기 불편하다.
A,호텔 피제이 명동 (Hotel PJ Myeongdong),음식 ,조식이 저렴한데 맛있다.
A,호텔 피제이 명동 (Hotel PJ Myeongdong),위치 및 교통,청계천과 인사동을 도보로 이동가능하다. 주변에 편의점이 있다. 을지로4가역과 충무로역이 도보 5분내에 이동이 가능하여 접근성이 뛰어나다.
B,나인트리 호텔 명동 (Nine Tree Hotel Myeong-dong),직원 서비스,직원들이 상냥하고 친절하나 요구사항 응대가 아쉬움.
B,나인트리 호텔 명동 (Nine Tree Hotel Myeong-dong),객실 상태,객실 크기가 작다. 방음이 잘 안 된다. 객실과 욕실이 쾌적하고 청결하다. 객실 내 물품들이 구비되어 있다. 욕실 내 샤워용품이 구비되어 있다. 9가지 종류의 소재 중 원하는 베개를 이용할 수 있다.
B,나인트리 호텔 명동 (Nine Tree Hotel Myeong-dong),편의 및 부대시설,주차장이 없어 불편하다. 
B,나인트리 호텔 명동 (Nine Tree Hotel Myeong-dong),음식 , 조식 퀄리티가 별로다. 
B,나인트리 호텔 명동 (Nine Tree Hotel Myeong-dong),위치 및 교통,명동역을 5분 내에 도보로 이동이 가능하여 접근성이 좋다.
A,신라스테이 서부산 김해공항 (Shilla Stay Seobusan Gimhae Airport),직원 서비스,"대부분 친절하나, 고객의 문의 응대가 아쉬움. "
A,신라스테이 서부산 김해공항 (Shilla Stay Seobusan Gimhae Airport),객실 상태,신축이라 깔끔하다. 욕실과 객실의 청소상태가 양호하다. ott를 볼 수 있는 스마트 티비가 구비되어 있다.
A,신라스테이 서부산 김해공항 (Shilla Stay Seobusan Gimhae Airport),편의 및 부대시설,"수영장, 사우나, 헬스클럽이 있다. "
A,신라스테이 서부산 김해공항 (Shilla Stay Seobusan Gimhae Airport),위치 및 교통,공항에서 가까우며 도심과 떨어져 있다. 해운대 광안리 등 주요 관광지와 거리가 멀다. 대중교통이 이용이 불편하여 자차가 필요하다.  주변에 먹거리와 편의시설이 많다. 
A,신라스테이 서부산 김해공항 (Shilla Stay Seobusan Gimhae Airport),호텔 시설,신축건물이다.
B,센텀 프리미어 호텔 (Centum Premier Hotel (Korea Quality)),직원 서비스,직원이 친절하다.
B,센텀 프리미어 호텔 (Centum Premier Hotel (Korea Quality)),객실 상태,객실이 대부분 깨끗하나 커텐의 먼지와 수건의 악취로 위생상태에 아쉬움을 느낀 후기가 있다. 객실 크기가 작다. 객실 내 물품이 작지만 모두 구비되어 있다. 
B,센텀 프리미어 호텔 (Centum Premier Hotel (Korea Quality)),편의 및 부대시설,전기차 충전소 사용에 아쉬운 후기가 있다.
B,센텀 프리미어 호텔 (Centum Premier Hotel (Korea Quality)),위치 및 교통,"백화점과 영화관, 벡스코와 근접하다. 대중교통을 이용하기 편리하다. 주변에 편의점과 음식점이 있다. 해운대와 가깝다."
B,센텀 프리미어 호텔 (Centum Premier Hotel (Korea Quality)),호텔 시설,규모가 작고 오래된 느낌
A,전주 시그니처 호텔 앤 레지던스 (Jeonju Signature Hotel & Residence),직원 서비스,응대 서비스가 좋고 친절하다.
A,전주 시그니처 호텔 앤 레지던스 (Jeonju Signature Hotel & Residence),객실 상태,"객실 내 전자레인지, 스타일러, 세탁기가 구비되어 있다. 신축 건물이라 위생상태가 깨끗하다. 방음이 안 좋다."
A,전주 시그니처 호텔 앤 레지던스 (Jeonju Signature Hotel & Residence),편의 및 부대시설,무료 주차가 가능하다.
A,전주 시그니처 호텔 앤 레지던스 (Jeonju Signature Hotel & Residence),음식 ,조식 신청인원이 10명 이하일 때 뷔페가 아닌 한식 한 상이다.
A,전주 시그니처 호텔 앤 레지던스 (Jeonju Signature Hotel & Residence),위치 및 교통,전주역과 매우 가깝다. 주변에 편의점과 식당이 있다. 
B,라한호텔 전주 (Lahan Hotel Jeonju),직원 서비스,대부분 친절하나 조식 운영 안내가 아쉽다.
B,라한호텔 전주 (Lahan Hotel Jeonju),객실 상태,침대가 편안하다. 벽지가 오래되어 청결하지 않다. 객실 크기가 크다. 객실 내 어메니티가 구비되어 있다. 위생상태와 방음이 아쉽다.
B,라한호텔 전주 (Lahan Hotel Jeonju),편의 및 부대시설,피트니스를 24시간 이용할 수 있다. 무료 주차장이 있다. 
B,라한호텔 전주 (Lahan Hotel Jeonju),음식 ,조식 종류가 만족스러우며 맛있다. 
B,라한호텔 전주 (Lahan Hotel Jeonju),위치 및 교통,한옥마을 내에 위치해 있다.
A,오크우드 프리미어 인천 호텔 (Oakwood Premier Incheon Hotel),직원 서비스,직원의 응대가 친절하다.
A,오크우드 프리미어 인천 호텔 (Oakwood Premier Incheon Hotel),객실 상태,객실에 어메니티가 제공된다. 객실 크기가 넓다. 주방과 취사도구가 있다. 세탁시설이 있다. 전망이 좋다. 
A,오크우드 프리미어 인천 호텔 (Oakwood Premier Incheon Hotel),편의 및 부대시설,아이 침대와 공기청정기가 무료 대여 가능하다. 피트니스센터가 넓고 이용하기 좋다.
A,오크우드 프리미어 인천 호텔 (Oakwood Premier Incheon Hotel),음식 ,조식이 맛있다.
B,그랜드 하얏트 인천 (Grand Hyatt Incheon),직원 서비스,요구사항을 즉각적으로 처리한다. 체크인 대기시간이 길다.
B,그랜드 하얏트 인천 (Grand Hyatt Incheon),객실 상태,객실 크기가 크다
B,그랜드 하얏트 인천 (Grand Hyatt Incheon),편의 및 부대시설,수영장의 크기와 수질 위생상태가 아쉽다. 피트니스센터가 있다.
B,그랜드 하얏트 인천 (Grand Hyatt Incheon),음식 ,"조식은 맛있지만, 이용시간 촉박하다."
A,라마다 제주 시티 호텔 (Ramada Jeju Cityhall),직원 서비스,청소를 매일 해주며 친절하다.
A,라마다 제주 시티 호텔 (Ramada Jeju Cityhall),객실 상태,객실 내 불쾌한 냄새가 난다. 객실 크기가 크다. 방음이 안 되어 불편하다.
A,라마다 제주 시티 호텔 (Ramada Jeju Cityhall),편의 및 부대시설,주차장이 좁아 주차가 어렵다.  기계식 주차장이 있고 발렛서비스가 있다. 1층에 편의점이 있다. 
A,라마다 제주 시티 호텔 (Ramada Jeju Cityhall),음식 ,조식이 만족스럽다.
A,라마다 제주 시티 호텔 (Ramada Jeju Cityhall),위치 및 교통,공항과 가깝다. 버스정류장이 있어서 대중교통을 이용하기 편리하다.
B,그라벨 호텔 (Grabel Hotel),직원 서비스,"고객의 요구사항을 잘 들어주고, 친절하다."
B,그라벨 호텔 (Grabel Hotel),객실 상태,객실 위생상태가 좋다. 화장실 청결도가 떨어진다. 객실 내 음식이 반입 불가하다. 방음이 안 된다. 욕실이 어둡다.
B,그라벨 호텔 (Grabel Hotel),편의 및 부대시설,수영장은 온수풀로 물 온도가 만족스럽다. 수영장 청결도가 아쉽다. 수영장의 타올은 유료대여를 해야한다. 주차장이 넓다.
B,그라벨 호텔 (Grabel Hotel),음식 ,조식이 만족스럽다.
B,그라벨 호텔 (Grabel Hotel),위치 및 교통,"공항과 인접해 있으며, 바다 앞에 위치해 있다. 주변에 음식점과 편의점이 있다"
A,호텔 브릿지 서귀포 (Hotel Bridge Seogwipo (Korea Quality)),직원 서비스,대부분 친절지만 응대가 미흡하다. 객실 정비시 직원의 서비스가 별로다. 주차장 만차 시 다른 방안을 안내해주는 문자 서비스를 제공한다.
A,호텔 브릿지 서귀포 (Hotel Bridge Seogwipo (Korea Quality)),객실 상태,방음이 안 된다. 객실이 깔끔하다. 객실에서 불쾌한 냄새가 난다. 
A,호텔 브릿지 서귀포 (Hotel Bridge Seogwipo (Korea Quality)),편의 및 부대시설,주차공간이 협소하여 주차가 어렵고 주변에 무료 주차장이 마련되어있다.  자쿠지이용은 유료다. 
A,호텔 브릿지 서귀포 (Hotel Bridge Seogwipo (Korea Quality)),위치 및 교통,이중섭 거리와 올레 시장과 가깝다. 도심에 위치해 있다. 교통이용이 편리하다.
A,호텔 브릿지 서귀포 (Hotel Bridge Seogwipo (Korea Quality)),가격,저렴하다. 가성비가 좋다.
B,호텔 화인 제주 (Hotel Fine Jeju ),직원 서비스,직원들의 응대가 친절하다.
B,호텔 화인 제주 (Hotel Fine Jeju ),객실 상태,객실이 깨끗하고 깔끔하다. 객실 크기가 넓다. 침구류도 깨끗하며 수건이 풍족하다. 침대가 푹신하다. 
B,호텔 화인 제주 (Hotel Fine Jeju ),편의 및 부대시설,주차공간이 넓어서 주차하기 편하다. 옥상에 수영장이 있다. 부대시설이 아쉽다.
B,호텔 화인 제주 (Hotel Fine Jeju ),위치 및 교통,올레시장과 근접해 차로 이동하기 좋다.  주변 관광지로 이동이 편리하다. 근처에 천지연폭포와 새연교가 있다.
B,호텔 화인 제주 (Hotel Fine Jeju ),가격,저렴하다. 
A,서귀포 칼 호텔 (Seogwipo KAL Hotel),직원 서비스,"직원들이 즉각적인 응대를 해주며 친절하지만, 종종 직원의 태도가 별로였다는 후기가 있다."
A,서귀포 칼 호텔 (Seogwipo KAL Hotel),객실 상태,위생상태가 좋다. 객실 내 유료물품이 많아서 아쉬움을 느낀 후기가 많다.
A,서귀포 칼 호텔 (Seogwipo KAL Hotel),편의 및 부대시설,정원 산책길이 잘 조성되어 있다. 수영장이 있으나 부대시설이 부족하다. 주차장 넓고 전기차 충전이 가능하다. 
A,서귀포 칼 호텔 (Seogwipo KAL Hotel),위치 및 교통,중문에서 10분정도 거리로 외진 곳에 위치해 있다. 주변에 편의시설이 없다. 
B,디아일랜드블루 호텔 (The Island Blue Hotel),직원 서비스,고객의 요청을 잘 받아주며 친절하다. 실시간 주차 공간 여부 서비스를 제공한다. 
B,디아일랜드블루 호텔 (The Island Blue Hotel),객실 상태,화장실 청결상태 별로다. 객실 크기가 크다. 방음이 안 된다. 객실 위생상태는 청결하다. 에어컨을 자유롭게 사용하기 어렵다. 
B,디아일랜드블루 호텔 (The Island Blue Hotel),편의 및 부대시설,"주차공간이 협소하다. 차 종류에 따라 주차가능한 공간이 다르다. 호텔 내 편의점이 있다. 1층에 세탁기, 건조기, 안마의자가 있다."
B,디아일랜드블루 호텔 (The Island Blue Hotel),위치 및 교통,올레시장과 이중섭거리를 도보로 이용 가능하다. 
A,호텔 수성 (Hotel Susung),직원 서비스,직원들이 친절하다. 
A,호텔 수성 (Hotel Susung),객실 상태,객실이 깨끗하고 만족스럽다. 객실 크기가 크다. 객실 내 자쿠지(온천탕)가 있지만 청소상태가 아쉽다. 방음이 잘 안 된다.
A,호텔 수성 (Hotel Susung),편의 및 부대시설,인피니티풀(수영장)이 만족스럽지만 마감시간이 짧다. 
A,호텔 수성 (Hotel Susung),음식 ,조식이 맛있다.
A,호텔 수성 (Hotel Susung),위치 및 교통,주변에 음식점과 카페가 많다. 언덕 위에 위치해 있다. 대중교통을 이용하기 불편하다. 
A,호텔 수성 (Hotel Susung),가격,조금 비싸다는 후기가 있다.
B,호텔 라온제나 (Hotel Laonzena),직원 서비스,요구사항을 잘 응대하지 않으며 친절하지 않다는 후기가 많다. 
B,호텔 라온제나 (Hotel Laonzena),객실 상태,객실 크기가 크다. 오래된 인테리어로 객실이 노후화된 느낌이 난다. 위생상태가 아쉽다는 후기가 많다. 방음이 안 된다.
B,호텔 라온제나 (Hotel Laonzena),편의 및 부대시설,부대시설은 유료이며 피트니스와 사우나가 있다. 주차장이 넉넉하다. 
B,호텔 라온제나 (Hotel Laonzena),음식 ,조식이 뷔페형식으로 나와 만족스럽다.
B,호텔 라온제나 (Hotel Laonzena),위치 및 교통,근처에 음식점이 많다. 건물을 상가와 예식장을 함께 사용한다.
B,호텔 라온제나 (Hotel Laonzena),가격,저렴한 가격에 가성비가 있다.
